STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019
Alabama,Autauga County,54571,55869
Alabama,Baldwin County,182265,223234
Alabama,Barbour County,27457,24686
Alabama,Bibb County,22915,22394
Alabama,Blount County,57322,57826
Alabama,Bullock County,10914,10101
Alabama,Butler County,20947,19448
Alabama,Calhoun County,118572,113605
Alabama,Chambers County,34215,33254
Alabama,Cherokee County,25989,26196
Alabama,Chilton County,43643,44428
Alabama,Choctaw County,13859,12589
Alabama,Clarke County,25833,23622
Alabama,Clay County,13932,13235
Alabama,Cleburne County,14972,14910
Alabama,Coffee County,49948,52342
Alabama,Colbert County,54428,55241
Alabama,Conecuh County,13228,12067
Alabama,Coosa County,11539,10663
Alabama,Covington County,37765,37049
Alabama,Crenshaw County,13906,13772
Alabama,Cullman County,80406,83768
Alabama,Dale County,50251,49172
Alabama,Dallas County,43820,37196
Alabama,DeKalb County,71109,71513
Alabama,Elmore County,79303,81209
Alabama,Escambia County,38319,36633
Alabama,Etowah County,104430,102268
Alabama,Fayette County,17241,16302
Alabama,Franklin County,31704,31362
Alabama,Geneva County,26790,26271
Alabama,Greene County,9045,8111
Alabama,Hale County,15760,14651
Alabama,Henry County,17302,17205
Alabama,Houston County,101547,105882
Alabama,Jackson County,53227,51626
Alabama,Jefferson County,658466,658573
Alabama,Lamar County,14564,13805
Alabama,Lauderdale County,92709,92729
Alabama,Lawrence County,34339,32924
Alabama,Lee County,140247,164542
Alabama,Limestone County,82782,98915
Alabama,Lowndes County,11299,9726
Alabama,Macon County,21452,18068
Alabama,Madison County,334811,372909
Alabama,Marengo County,21027,18863
Alabama,Marion County,30776,29709
Alabama,Marshall County,93019,96774
Alabama,Mobile County,412992,413210
Alabama,Monroe County,23068,20733
Alabama,Montgomery County,229363,226486
Alabama,Morgan County,119490,119679
Alabama,Perry County,10591,8923
Alabama,Pickens County,19746,19930
Alabama,Pike County,32899,33114
Alabama,Randolph County,22913,22722
Alabama,Russell County,52947,57961
Alabama,St. Clair County,83593,89512
Alabama,Shelby County,195085,217702
Alabama,Sumter County,13763,12427
Alabama,Talladega County,82291,79978
Alabama,Tallapoosa County,41616,40367
Alabama,Tuscaloosa County,194656,209355
Alabama,Walker County,67023,63521
Alabama,Washington County,17581,16326
Alabama,Wilcox County,11670,10373
Alabama,Winston County,24484,23629
Alaska,Aleutians East Borough,3141,3337
Alaska,Aleutians West Census Area,5561,5634
Alaska,Anchorage Municipality,291826,288000
Alaska,Bethel Census Area,17013,18386
Alaska,Bristol Bay Borough,997,836
Alaska,Denali Borough,1826,2097
Alaska,Dillingham Census Area,4847,4916
Alaska,Fairbanks North Star Borough,97581,96849
Alaska,Haines Borough,2508,2530
Alaska,Hoonah-Angoon Census Area,2150,2148
Alaska,Juneau City and Borough,31275,31974
Alaska,Kenai Peninsula Borough,55400,58708
Alaska,Ketchikan Gateway Borough,13477,13901
Alaska,Kodiak Island Borough,13592,12998
Alaska,Kusilvak Census Area,7459,8314
Alaska,Lake and Peninsula Borough,1631,1592
Alaska,Matanuska-Susitna Borough,88995,108317
Alaska,Nome Census Area,9492,10004
Alaska,North Slope Borough,9430,9832
Alaska,Northwest Arctic Borough,7523,7621
Alaska,Petersburg Borough,3815,3266
